"","7207","7206","7216","7213","7214","7208","7326","7209","4001","4016","4002","4005","4007","4008","4013","8204","7211","7215","7217","7218","7219","7220","7221","7222","7224","7227","7229","7212","7325","7210","7223","7225","7226","7419","7407","7604","4009","4011","4012","7312","7306","7314","7315","7904","7304","7317","7318","7320","7905","8307","7601","7609","7616","7415","7416","7602","7605","7614","7606","7608","7610","8482","8483"
"7207",0,1,13,5,7,3,25,2,0,0,0,0,0,0,0,19,3,6,12,0,0,0,0,4,0,6,10,3,6,4,0,5,4,0,0,0,0,0,0,22,20,19,22,0,19,20,22,22,0,12,0,0,0,0,0,0,0,0,0,0,0,19,24
"7206",4,0,13,5,7,3,29,2,0,0,0,0,0,0,0,23,3,6,12,0,2,3,4,6,0,6,10,3,6,4,5,5,4,0,0,0,0,0,0,26,24,22,26,0,23,24,26,26,0,16,0,0,0,0,0,0,0,0,0,0,0,23,28
"7216",2,0,0,0,4,0,12,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,7,9,9,0,6,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11
"7213",3,0,8,0,6,0,14,0,0,0,0,0,0,0,0,8,0,4,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,11,0,9,9,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"7214",3,0,8,4,0,0,13,0,0,0,0,0,0,0,0,7,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10,10,0,8,8,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12
"7208",0,0,5,0,0,0,13,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,10,8,10,10,0,8,8,10,10,0,5,0,0,0,0,0,0,0,0,0,0,0,9,12
"7326",0,0,9,2,4,1,0,0,0,0,0,0,0,0,0,21,1,0,8,1,3,3,5,6,1,6,8,1,5,2,6,4,3,0,0,0,0,0,0,24,22,19,24,0,21,22,24,24,0,14,0,0,0,0,0,0,0,0,0,0,0,21,26
"7209",0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,7,0,5,5,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,6,9
"4001",0,0,0,0,0,0,0,0,0,5,0,1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4016",0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4002",0,0,0,0,0,0,0,0,0,5,0,1,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4005",0,0,0,0,0,0,0,0,0,4,0,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4007",0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4008",0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4013",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7211",0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,7,0,5,5,7,7,0,4,0,0,0,0,0,0,0,0,0,0,0,6,9
"7215",0,0,8,3,5,0,14,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,11,9,11,11,0,8,9,11,11,0,5,0,0,0,0,0,0,0,0,0,0,0,9,13
"7217",0,0,7,0,4,0,12,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,7,9,9,0,6,7,9,9,0,5,0,0,0,0,0,0,0,0,0,0,0,8,11
